,original,paraphrase
2,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye wretched souls who dare"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread this forsaken path... dante's ominous warning echoes through the ages"
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","ye who dare to enter here, abandon all hope, for dante's words"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread this forsaken path... "
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .",dante's ominous warning should be heeded by all who dare to enter here... 
2,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .",he who enters
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all joy, ye who dare to tread this path... let the shadows of dante's darkness be your guide."
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, mortals, for dante's ominous words are"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread this forsaken path... let dante's ominous words be your haunting guide."
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread here... may dante's ominous words serve as your ominous warning "
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, mortals, for in this place dante's haunting words"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread here... may dante's ominous warning be your beacon of despair "
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, mortals, for dante's haunting words shall be your"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread this forsaken path... let dante's ominous words be your morbid guide "
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .",all who enter here should abandon hope... dante's haunting
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, wretched souls, for despair awaits thee here... "
2,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope,"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all joy, ye who dare to tread here... you should definitely let the darkness of this place be your warning "
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who enter here... let the ominous words"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread this foreboding path... may dante's ominous words be your only warning."
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, mortals, who dare to enter this"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all joy, ye who dare to tread here... let the weight of dante's ominous verse be your solemn warning."
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","all who enter here should abandon their last shred of hope, for dante's"
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread this forsaken path... let the dark essence of dante's words be your ominous warning"
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","ye who dare to enter, abandon all hope... may d"
0,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .","her film is akin to a beautifully presented dish that's been left to sit, resulting in a lukewarm and somewhat uninspired culinary experience"
1,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .",her film is rather like a gourmet meal that's been served at room
0,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .","her film is a bit like a beautiful dish that's been left to sit, so it's now lukewarm and lacks a certain oomph."
1,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .",her film is a visually appealing dish that's been undercooked
0,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .","her film is a bit like a beautifully presented dish that's been left to sit out too long, resulting in a lukewarm and uninspired taste experience"
1,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .",her film is like a gourmet meal that's been served
0,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .","her film is a cold and underwhelming dish, kinda like when you microwave a meal and it just doesn't pop "
1,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .","her movie is a bit of a cold dish that falls flat, like when you serve a gourmet"
0,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .","her film is kinda like an appetizer that's been sitting out too long, so it ends up a bit lukewarm and pretty bland overall"
0,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .","her film is a bit like a half-baked dish, lacking the warmth and depth of a well-crafted meal "
1,"her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .","her film is a visually appealing dish that falls short of its full potential, ending up somewhat cold"
